,price,bathrooms,sqft_living,grade,sqft_living15
0,221900.0,1.0,1180,7,1340
1,538000.0,2.25,2570,7,1690
2,180000.0,1.0,770,6,2720
3,604000.0,3.0,1960,7,1360
4,510000.0,2.0,1680,8,1800
5,1225000.0,4.5,5420,11,4760
6,257500.0,2.25,1715,7,2238
7,291850.0,1.5,1060,7,1650
8,229500.0,1.0,1780,7,1780
9,323000.0,2.5,1890,7,2390
10,662500.0,2.5,3560,8,2210
11,468000.0,1.0,1160,7,1330
12,310000.0,1.0,1430,7,1780
13,400000.0,1.75,1370,7,1370
14,530000.0,2.0,1810,7,1360
15,650000.0,3.0,2950,9,2140
16,395000.0,2.0,1890,7,1890
17,485000.0,1.0,1600,7,1610
18,189000.0,1.0,1200,7,1060
19,230000.0,1.0,1250,7,1280
20,385000.0,1.75,1620,7,1400
21,2000000.0,2.75,3050,9,4110
22,285000.0,2.5,2270,8,2240
23,252700.0,1.5,1070,7,1220
24,329000.0,2.25,2450,8,2200
25,233000.0,2.0,1710,6,1030
26,937000.0,1.75,2450,8,1760
27,667000.0,1.0,1400,8,1860
28,438000.0,1.75,1520,7,1520
29,719000.0,2.5,2570,8,2630
30,580500.0,2.5,2320,8,2580
31,280000.0,1.5,1190,7,1390
32,687500.0,1.75,2330,7,1460
33,535000.0,1.0,1090,8,1570
34,322500.0,2.75,2060,7,2020
35,696000.0,2.5,2300,8,1590
36,550000.0,1.0,1660,5,2160
37,640000.0,2.0,2360,8,1730
38,240000.0,1.0,1220,7,1290
39,605000.0,2.5,2620,8,2620
40,625000.0,2.5,2570,9,2470
41,775000.0,2.25,4220,8,2410
42,861990.0,2.75,3595,9,3625
43,685000.0,1.0,1570,7,1580
44,309000.0,1.0,1280,6,1340
45,488000.0,2.5,3160,8,3050
46,210490.0,1.0,990,6,1228
47,785000.0,2.5,2290,9,2680
48,450000.0,1.75,1250,7,970
49,1350000.0,2.5,2753,9,2680
50,228000.0,1.0,1190,7,1190
51,345000.0,2.5,3150,8,1990
52,600000.0,1.75,1410,7,1410
53,585000.0,1.75,1980,7,1480
54,920000.0,2.25,2730,8,2730
55,885000.0,2.5,2830,9,1950
56,292500.0,2.5,2250,7,2250
57,301000.0,2.5,2420,8,2690
58,951000.0,3.25,3250,8,2960
59,430000.0,3.0,1850,8,2270
60,650000.0,2.25,2150,8,2570
61,289000.0,1.75,1260,7,1290
62,505000.0,1.75,2519,8,2500
63,549000.0,1.75,1540,8,1580
64,425000.0,2.25,1660,7,1440
65,317625.0,2.75,2770,7,1440
66,975000.0,2.5,2720,10,2750
67,287000.0,2.5,2240,7,2221
68,204000.0,1.0,1000,7,1010
69,1325000.0,2.25,3200,8,3390
70,1040000.0,3.25,4770,11,3530
71,325000.0,2.0,1260,7,1640
72,571000.0,2.0,2750,7,1510
73,360000.0,2.5,2380,8,2420
74,349000.0,1.75,1790,7,1940
75,832500.0,4.0,3430,10,3240
76,380000.0,1.75,1760,7,1680
77,480000.0,1.0,1040,7,890
78,410000.0,1.0,1410,7,1130
79,720000.0,2.5,3450,10,3350
80,390000.0,2.5,2350,8,2350
81,360000.0,2.5,1900,7,1870
82,355000.0,1.0,2020,7,1720
83,356000.0,1.5,1680,8,1850
84,315000.0,1.0,960,6,1570
85,940000.0,1.5,2140,9,2020
